,indication,chembl_id,max_phase_for_ind,mesh_heading,mesh_id
7019,colorectal adenoma,CHEMBL118,3,Adenoma,D000236
7021,opioid dependence,CHEMBL807,2,Opioid-Related Disorders,D009293
7023,fibromyalgia,CHEMBL807,3,Fibromyalgia,D005356
7024,neuropathic pain,CHEMBL600,2,Neuralgia,D009437
7025,neuropathic pain,CHEMBL52440,2,Neuralgia,D009437
7026,neuropathic pain,CHEMBL807,2,Neuralgia,D009437
7027,non-Hodgkins lymphoma,CHEMBL1201182,2,"Lymphoma, Non-Hodgkin",D008228
7028,non-Hodgkins lymphoma,CHEMBL1750,2,"Lymphoma, Non-Hodgkin",D008228
7030,male breast carcinoma,CHEMBL428647,3,"Breast Neoplasms, Male",D018567
7032,Meniere disease,CHEMBL880,3,Meniere Disease,D008575
7036,altitude sickness,CHEMBL1111,2,Altitude Sickness,D000532
7037,iritis,CHEMBL1152,2,Iritis,D007500
7038,Neurogenic bladder,CHEMBL1201764,3,"Urinary Bladder, Neurogenic",D001750
7041,Thrombocytopenia,CHEMBL1489,3,Thrombocytopenia,D013921
7044,Diarrhea,CHEMBL1680,3,Diarrhea,D003967
7045,Diarrhea,CHEMBL8,3,Diarrhea,D003967
7046,Diarrhea,CHEMBL437765,3,Diarrhea,D003967
7048,Bronchiectasis,CHEMBL8,3,Bronchiectasis,D001987
7049,Gastrointestinal hemorrhage,CHEMBL1503,3,Gastrointestinal Hemorrhage,D006471
7050,Gastrointestinal hemorrhage,CHEMBL532,3,Gastrointestinal Hemorrhage,D006471
7052,Peptic ulcer,CHEMBL1697771,3,Peptic Ulcer,D010437
7053,Cognitive impairment,CHEMBL799,2,Cognitive Dysfunction,D060825
7054,Cognitive impairment,CHEMBL45,2,Cognitive Dysfunction,D060825
7055,Sickle cell anemia,CHEMBL2107834,2,"Anemia, Sickle Cell",D000755
7056,Sickle cell anemia,CHEMBL1096882,3,"Anemia, Sickle Cell",D000755
7057,Meningioma,CHEMBL473417,2,Meningioma,D008579
7059,Huntington disease,CHEMBL807,2,Huntington Disease,D006816
7064,Fragile X syndrome,CHEMBL503,2,Fragile X Syndrome,D005600
7066,neoplasm of mature B-cells,CHEMBL848,3,"Lymphoma, Follicular",D008224
7069,hepatocellular carcinoma,CHEMBL939,2,"Carcinoma, Hepatocellular",D006528
7070,hepatocellular carcinoma,CHEMBL468,3,"Carcinoma, Hepatocellular",D006528
7072,hepatocellular carcinoma,CHEMBL1082407,2,"Carcinoma, Hepatocellular",D006528
7074,hepatocellular carcinoma,CHEMBL1680,3,"Carcinoma, Hepatocellular",D006528
7075,hepatocellular carcinoma,CHEMBL985,2,"Carcinoma, Hepatocellular",D006528
7076,Hodgkins lymphoma,CHEMBL1873475,2,Hodgkin Disease,D006689
7077,metabolic syndrome,CHEMBL1201753,1,Metabolic Syndrome,D024821
7079,acute myeloid leukemia,CHEMBL514,3,"Leukemia, Myeloid, Acute",D015470
7082,acute myeloid leukemia,CHEMBL2043437,3,"Leukemia, Myeloid, Acute",D015470
7085,Alzheimer's disease,CHEMBL887,2,Alzheimer Disease,D000544
7086,Alzheimer's disease,CHEMBL3183549,2,Alzheimer Disease,D000544
7088,asthma,CHEMBL282724,2,Asthma,D001249
7089,asthma,CHEMBL196,1,Asthma,D001249
7093,bipolar disorder,CHEMBL460026,2,Bipolar Disorder,D001714
7095,breast carcinoma,CHEMBL1503,2,Breast Neoplasms,D001943
7096,cancer,CHEMBL1614701,4,Neoplasms,D009369
7098,cancer,CHEMBL4297067,1,Neoplasms,D009369
7099,cancer,CHEMBL848,1,Neoplasms,D009369
7100,cancer,CHEMBL852,4,Neoplasms,D009369
7107,congestive heart failure,CHEMBL1393,4,Heart Failure,D006333
7110,cutaneous melanoma,CHEMBL428647,3,Melanoma,D008545
7116,epilepsy,CHEMBL256997,2,Epilepsy,D004827
7117,glioblastoma multiforme,CHEMBL467,3,Glioblastoma,D005909
7118,glioblastoma multiforme,CHEMBL807,2,Glioblastoma,D005909
7121,hypertrophic cardiomyopathy,CHEMBL600,1,"Cardiomyopathy, Hypertrophic",D002312
7124,infection,CHEMBL2104415,2,Infections,D007239
7125,infection,CHEMBL2374220,3,Infections,D007239
7126,infertility,CHEMBL175247,3,Infertility,D007246
7127,infertility,CHEMBL139,3,Infertility,D007246
7128,injury,CHEMBL778,2,Wounds and Injuries,D014947
7129,irritable bowel syndrome,CHEMBL1042,1,Irritable Bowel Syndrome,D043183
7131,leukemia,CHEMBL2105737,2,Leukemia,D007938
7142,neoplasm,CHEMBL566534,1,Neoplasms,D009369
7148,osteosarcoma,CHEMBL671,2,Osteosarcoma,D012516
7150,periodontitis,CHEMBL849,3,Periodontitis,D010518
7151,polycystic ovary syndrome,CHEMBL1222251,0,Polycystic Ovary Syndrome,D011085
7152,preeclampsia,CHEMBL1140,2,Pre-Eclampsia,D011225
7153,preeclampsia,CHEMBL606,3,Pre-Eclampsia,D011225
7154,prostate adenocarcinoma,CHEMBL1006,2,Prostatic Neoplasms,D011471
7157,psoriasis,CHEMBL1200951,2,Psoriasis,D011565
7159,mental or behavioural disorder,CHEMBL600,2,Mental Disorders,D001523
7161,renal cell carcinoma,CHEMBL98,2,"Carcinoma, Renal Cell",D002292
7166,sarcoma,CHEMBL476,3,Sarcoma,D012509
7170,skin disease,CHEMBL376140,3,Skin Diseases,D012871
7171,skin disease,CHEMBL1657,2,Skin Diseases,D012871
7172,skin disease,CHEMBL387675,3,Skin Diseases,D012871
7176,stroke,CHEMBL79,3,Stroke,D020521
7178,stroke,CHEMBL1043,2,Stroke,D020521
7179,stroke,CHEMBL1434,2,Stroke,D020521
7180,stroke,CHEMBL856,2,Stroke,D020521
7184,uterine fibroid,CHEMBL196,3,Leiomyoma,D007889
7187,HIV infection,CHEMBL1200455,1,HIV Infections,D015658
7188,HIV infection,CHEMBL204656,4,HIV Infections,D015658
7189,HIV infection,CHEMBL628,1,HIV Infections,D015658
7191,malignant pleural mesothelioma,CHEMBL1289926,1,Mesothelioma,D008654
7192,endometriosis,CHEMBL468,1,Endometriosis,D004715
7195,obesity,CHEMBL386630,2,Obesity,D009765
7196,obesity,CHEMBL953,1,Obesity,D009765
7197,ovarian carcinoma,CHEMBL1946170,2,Ovarian Neoplasms,D010051
7200,type I diabetes mellitus,CHEMBL3183549,1,"Diabetes Mellitus, Type 1",D003922
7202,type II diabetes mellitus,CHEMBL1485,1,"Diabetes Mellitus, Type 2",D003924
7203,type II diabetes mellitus,CHEMBL13,3,"Diabetes Mellitus, Type 2",D003924
7205,pulmonary arterial hypertension,CHEMBL41,2,"Hypertension, Pulmonary",D006976
7209,multiple myeloma,CHEMBL1201182,2,Multiple Myeloma,D009101
7210,liver disease,CHEMBL1287853,1,Liver Diseases,D008107
7211,liver disease,CHEMBL608533,1,Liver Diseases,D008107
7212,liver disease,CHEMBL2105637,1,Liver Diseases,D008107
7213,liver disease,CHEMBL3187723,1,Liver Diseases,D008107
7215,cirrhosis of liver,CHEMBL1201117,3,Liver Cirrhosis,D008103
7216,primary myelofibrosis,CHEMBL43452,3,Primary Myelofibrosis,D055728
7217,cocaine dependence,CHEMBL600,2,Cocaine-Related Disorders,D019970
7221,systemic lupus erythematosus,CHEMBL1064,1,"Lupus Erythematosus, Systemic",D008180
7225,hepatitis C virus infection,CHEMBL532,1,Hepatitis C,D006526
7226,hepatitis C virus infection,CHEMBL8,1,Hepatitis C,D006526
7227,non-small cell lung carcinoma,CHEMBL1200374,2,"Carcinoma, Non-Small-Cell Lung",D002289
7230,non-alcoholic fatty liver disease,CHEMBL1042,3,Non-alcoholic Fatty Liver Disease,D065626
7233,pneumonia,CHEMBL1436,3,Pneumonia,D011014
7235,heart failure,CHEMBL1311,2,Heart Failure,D006333
7236,autism,CHEMBL1622,2,Autistic Disorder,D001321
7237,heart disease,CHEMBL526,3,Heart Diseases,D006331
7243,alcohol dependence,CHEMBL549,2,Alcoholism,D000437
7244,alcohol dependence,CHEMBL600,2,Alcoholism,D000437
7250,pain,CHEMBL465,2,Pain,D010146
7257,attention deficit hyperactivity disorder,CHEMBL3,1,Attention Deficit Disorder with Hyperactivity,D001289
7261,atherosclerosis,CHEMBL573,3,Atherosclerosis,D050197
7262,relapsing-remitting multiple sclerosis,CHEMBL1626,2,"Multiple Sclerosis, Relapsing-Remitting",D020529
7265,Vitiligo,CHEMBL1200686,2,Vitiligo,D014820
7270,chronic hepatitis B virus infection,CHEMBL2107825,3,"Hepatitis B, Chronic",D019694
7271,obsessive-compulsive disorder,CHEMBL220492,3,Obsessive-Compulsive Disorder,D009771
7272,obsessive-compulsive disorder,CHEMBL807,2,Obsessive-Compulsive Disorder,D009771
7273,carcinoid tumor,CHEMBL1873475,2,Carcinoid Tumor,D002276
7274,nasopharyngeal neoplasm,CHEMBL2110563,2,Nasopharyngeal Neoplasms,D009303
7277,panic disorder,CHEMBL490,3,Panic Disorder,D016584
7279,peripheral arterial disease,CHEMBL1200711,3,Peripheral Arterial Disease,D058729
7280,sclerosing cholangitis,CHEMBL1434,1,"Cholangitis, Sclerosing",D015209
7281,scoliosis,CHEMBL778,1,Scoliosis,D012600
7282,movement disorder,CHEMBL1364,3,Movement Disorders,D009069
7287,familial hypercholesterolemia,CHEMBL1200711,3,Hyperlipoproteinemia Type II,D006938
7288,cutaneous Leishmaniasis,CHEMBL106,3,"Leishmaniasis, Cutaneous",D016773
7289,cutaneous Leishmaniasis,CHEMBL267345,1,"Leishmaniasis, Cutaneous",D016773
7291,anxiety,CHEMBL778,3,Anxiety,D001007
7292,psychosis,CHEMBL940,1,Psychotic Disorders,D011618
7293,psychosis,CHEMBL1434,3,Psychotic Disorders,D011618
7294,urticaria,CHEMBL635,3,Urticaria,D014581
7295,glioma,CHEMBL810,2,Glioma,D005910
7296,opioid dependence,CHEMBL596,1,Opioid-Related Disorders,D009293
7297,acute coronary syndrome,CHEMBL573,3,Acute Coronary Syndrome,D054058
7299,neuropathic pain,CHEMBL259209,2,Neuralgia,D009437
7300,neuropathic pain,CHEMBL109,2,Neuralgia,D009437
7304,male breast carcinoma,CHEMBL1773,2,"Breast Neoplasms, Male",D018567
7306,allergic conjunctivitis,CHEMBL1042,2,"Conjunctivitis, Allergic",D003233
7307,autoimmune thrombocytopenic purpura,CHEMBL1201129,3,"Purpura, Thrombocytopenic, Idiopathic",D016553
7308,autoimmune thrombocytopenic purpura,CHEMBL160,3,"Purpura, Thrombocytopenic, Idiopathic",D016553
7311,seborrheic dermatitis,CHEMBL1159650,3,"Dermatitis, Seborrheic",D012628
7312,seborrheic dermatitis,CHEMBL1238,2,"Dermatitis, Seborrheic",D012628
7313,altitude sickness,CHEMBL600,1,Altitude Sickness,D000532
7314,posterior uveitis,CHEMBL989,2,"Uveitis, Posterior",D015866
7315,trigeminal neuralgia,CHEMBL1006,3,Trigeminal Neuralgia,D014277
7318,Pruritus,CHEMBL1471,2,Pruritus,D011537
7320,Growth delay,CHEMBL386630,2,Dwarfism,D004392
7321,Acute kidney injury,CHEMBL70927,3,Acute Kidney Injury,D058186
7322,Hypoglycemia,CHEMBL1222250,1,Hypoglycemia,D007003
7326,Gastrointestinal hemorrhage,CHEMBL1680,1,Gastrointestinal Hemorrhage,D006471
7329,Cough,CHEMBL1059,1,Cough,D003371
7330,Sickle cell anemia,CHEMBL43452,1,"Anemia, Sickle Cell",D000755
7331,Sickle cell anemia,CHEMBL398435,3,"Anemia, Sickle Cell",D000755
7332,Sickle cell anemia,CHEMBL76,2,"Anemia, Sickle Cell",D000755
7333,Disorder of lipid metabolism,CHEMBL1431,3,Lipid Metabolism Disorders,D052439
7336,Marfan syndrome,CHEMBL1581,3,Marfan Syndrome,D008382
7337,Cystic fibrosis,CHEMBL64391,1,Cystic Fibrosis,D003550
7338,Neurofibromatosis type 1,CHEMBL1908360,2,Neurofibromatosis 1,D009456
7340,Duchenne muscular dystrophy,CHEMBL1393,3,"Muscular Dystrophy, Duchenne",D020388
7343,neoplasm of mature B-cells,CHEMBL487253,3,"Lymphoma, Follicular",D008224
7348,hepatocellular carcinoma,CHEMBL408513,1,"Carcinoma, Hepatocellular",D006528
7350,MALT lymphoma,CHEMBL515,3,"Lymphoma, B-Cell, Marginal Zone",D018442
7352,unspecified peripheral T-cell lymphoma,CHEMBL848,2,"Lymphoma, T-Cell, Peripheral",D016411
7353,acute myeloid leukemia,CHEMBL571546,1,"Leukemia, Myeloid, Acute",D015470
7356,acute myeloid leukemia,CHEMBL810,2,"Leukemia, Myeloid, Acute",D015470
7357,acute myeloid leukemia,CHEMBL376140,1,"Leukemia, Myeloid, Acute",D015470
7358,adenocarcinoma,CHEMBL1431,2,Adenocarcinoma,D000230
7359,adenocarcinoma,CHEMBL1201182,1,Adenocarcinoma,D000230
7361,Alzheimer's disease,CHEMBL154,2,Alzheimer Disease,D000544
7363,aortic stenosis,CHEMBL398435,3,Aortic Valve Stenosis,D001024
7364,asthma,CHEMBL1485,2,Asthma,D001249
7366,atopic eczema,CHEMBL1042,2,"Dermatitis, Atopic",D003876
7371,Barrett's esophagus,CHEMBL25,2,Barrett Esophagus,D001471
7373,bladder carcinoma,CHEMBL428647,3,Urinary Bladder Neoplasms,D001749
7378,cancer,CHEMBL1617,1,Neoplasms,D009369
7383,cardiovascular disease,CHEMBL1456,3,Cardiovascular Diseases,D002318
7391,colorectal adenocarcinoma,CHEMBL917,3,Colorectal Neoplasms,D015179
7392,congestive heart failure,CHEMBL344159,3,Heart Failure,D006333
7393,Crohn's disease,CHEMBL3301607,3,Crohn Disease,D003424
7395,Crohn's disease,CHEMBL930,1,Crohn Disease,D003424
7401,diffuse large B-cell lymphoma,CHEMBL1614701,2,"Lymphoma, Large B-Cell, Diffuse",D016403
7402,epilepsy,CHEMBL103,3,Epilepsy,D004827
7403,germ cell tumor,CHEMBL521686,2,"Neoplasms, Germ Cell and Embryonal",D009373
7409,infection,CHEMBL57,3,Infections,D007239
7410,infection,CHEMBL1483,4,Infections,D007239
7412,infection,CHEMBL930,2,Infections,D007239
7413,infection,CHEMBL308954,1,Infections,D007239
7414,irritable bowel syndrome,CHEMBL259209,2,Irritable Bowel Syndrome,D043183
7417,lymphoma,CHEMBL3301610,1,Lymphoma,D008223
7418,lymphoma,CHEMBL2103830,1,Lymphoma,D008223
7420,lymphoma,CHEMBL1619,3,Lymphoma,D008223
7422,myocardial infarction,CHEMBL600,3,Myocardial Infarction,D009203
7426,neoplasm,CHEMBL1024,4,Neoplasms,D009369
7430,prostate adenocarcinoma,CHEMBL1358,2,Prostatic Neoplasms,D011471
7431,prostate adenocarcinoma,CHEMBL1201255,3,Prostatic Neoplasms,D011471
7434,psoriasis,CHEMBL2105759,2,Psoriasis,D011565
7437,renal cell carcinoma,CHEMBL924,2,"Carcinoma, Renal Cell",D002292
7438,rheumatoid arthritis,CHEMBL1622,3,"Arthritis, Rheumatoid",D001172
7443,sarcoma,CHEMBL1024,3,Sarcoma,D012509
7444,schizophrenia,CHEMBL600,3,Schizophrenia,D012559
7445,schizophrenia,CHEMBL19019,1,Schizophrenia,D012559
7446,schizophrenia,CHEMBL54976,2,Schizophrenia,D012559
7447,small cell lung carcinoma,CHEMBL1485,2,Small Cell Lung Carcinoma,D055752
7448,small cell lung carcinoma,CHEMBL76,1,Small Cell Lung Carcinoma,D055752
7451,stroke,CHEMBL1201192,2,Stroke,D020521
7452,subarachnoid hemorrhage,CHEMBL877,2,Subarachnoid Hemorrhage,D013345
7453,subarachnoid hemorrhage,CHEMBL1139,2,Subarachnoid Hemorrhage,D013345
7460,melanoma,CHEMBL852,3,Melanoma,D008545
7461,HIV infection,CHEMBL231813,3,HIV Infections,D015658
7462,HIV infection,CHEMBL2107825,3,HIV Infections,D015658
7463,HIV infection,CHEMBL1366,1,HIV Infections,D015658
7465,HIV infection,CHEMBL493982,1,HIV Infections,D015658
7467,HIV infection,CHEMBL1460,4,HIV Infections,D015658
7469,AIDS,CHEMBL2107825,3,Acquired Immunodeficiency Syndrome,D000163
7474,cataract,CHEMBL31,1,Cataract,D002386
7476,deafness,CHEMBL635,3,Deafness,D003638
7477,endometriosis,CHEMBL1201087,2,Endometriosis,D004715
7480,nutritional disorder,CHEMBL79,3,Nutrition Disorders,D009748
7483,obesity,CHEMBL54976,2,Obesity,D009765
7484,obesity,CHEMBL112,3,Obesity,D009765
7485,obesity,CHEMBL779,2,Obesity,D009765
7486,obesity,CHEMBL2111107,2,Obesity,D009765
7487,obesity,CHEMBL573,2,Obesity,D009765
7488,type I diabetes mellitus,CHEMBL96,1,"Diabetes Mellitus, Type 1",D003922
7490,type I diabetes mellitus,CHEMBL1622,3,"Diabetes Mellitus, Type 1",D003922
7491,type I diabetes mellitus,CHEMBL1222250,1,"Diabetes Mellitus, Type 1",D003922
7493,type I diabetes mellitus,CHEMBL1536,3,"Diabetes Mellitus, Type 1",D003922
7498,pulmonary arterial hypertension,CHEMBL163,1,"Hypertension, Pulmonary",D006976
7499,pulmonary arterial hypertension,CHEMBL1431,2,"Hypertension, Pulmonary",D006976
7500,pulmonary arterial hypertension,CHEMBL1139,3,"Hypertension, Pulmonary",D006976
7501,age-related macular degeneration,CHEMBL1231723,2,Macular Degeneration,D008268
7504,liver disease,CHEMBL1082407,1,Liver Diseases,D008107
7505,liver disease,CHEMBL1456,2,Liver Diseases,D008107
7509,Parkinson's disease,CHEMBL1286,2,Parkinson Disease,D010300
7512,cocaine dependence,CHEMBL723,2,Cocaine-Related Disorders,D019970
7514,metastatic melanoma,CHEMBL1431,2,Melanoma,D008545
7515,metastatic melanoma,CHEMBL810,3,Melanoma,D008545
7516,pancreatic carcinoma,CHEMBL1434,2,Pancreatic Neoplasms,D010190
7518,muscular disease,CHEMBL2051955,2,Muscular Diseases,D009135
7519,hepatitis C virus infection,CHEMBL468,2,Hepatitis C,D006526
7520,hepatitis C virus infection,CHEMBL223228,1,Hepatitis C,D006526
7523,non-small cell lung carcinoma,CHEMBL1140,2,"Carcinoma, Non-Small-Cell Lung",D002289
7524,non-small cell lung carcinoma,CHEMBL45,3,"Carcinoma, Non-Small-Cell Lung",D002289
7526,non-small cell lung carcinoma,CHEMBL1276308,2,"Carcinoma, Non-Small-Cell Lung",D002289
7529,non-small cell lung carcinoma,CHEMBL325041,2,"Carcinoma, Non-Small-Cell Lung",D002289
7532,heart failure,CHEMBL495,3,Heart Failure,D006333
7533,autism spectrum disorder,CHEMBL549,1,"Child Development Disorders, Pervasive",D002659
7534,autism,CHEMBL848,2,Autistic Disorder,D001321
7537,allergy,CHEMBL1042,2,Hypersensitivity,D006967
7538,alcohol dependence,CHEMBL545,1,Alcoholism,D000437
7541,osteoporosis,CHEMBL449317,3,Osteoporosis,D010024
7545,multiple sclerosis,CHEMBL635,4,Multiple Sclerosis,D009103
7549,multiple sclerosis,CHEMBL20,2,Multiple Sclerosis,D009103
7551,drug dependence,CHEMBL771,2,Substance-Related Disorders,D019966
7553,premature birth,CHEMBL480,2,Premature Birth,D047928
7554,relapsing-remitting multiple sclerosis,CHEMBL1434,2,"Multiple Sclerosis, Relapsing-Remitting",D020529
7555,androgenetic alopecia,CHEMBL109,2,Alopecia,D000505
7556,IGA glomerulonephritis,CHEMBL635,3,"Glomerulonephritis, IGA",D005922
7558,chronic hepatitis C virus infection,CHEMBL64391,1,"Hepatitis C, Chronic",D019698
7560,endometrial neoplasm,CHEMBL428647,3,Endometrial Neoplasms,D016889
7562,heroin dependence,CHEMBL1434,3,Heroin Dependence,D006556
7569,vascular disease,CHEMBL25,3,Vascular Diseases,D014652
7571,sclerosing cholangitis,CHEMBL468,2,"Cholangitis, Sclerosing",D015209
7573,smoking cessation,CHEMBL1064,2,Smoking Cessation,D016540
7574,smoking cessation,CHEMBL771,3,Smoking Cessation,D016540
7577,anxiety,CHEMBL807,3,Anxiety,D001007
7578,post-operative sign or symptom,CHEMBL796,1,Postoperative Complications,D011183
7579,psychosis,CHEMBL1200862,2,Psychotic Disorders,D011618
7580,opioid dependence,CHEMBL52440,3,Opioid-Related Disorders,D009293
7582,intracerebral hemorrhage,CHEMBL41,3,Cerebral Hemorrhage,D002543
7587,septic shock,CHEMBL1201010,3,"Shock, Septic",D012772
7588,septic shock,CHEMBL408403,3,"Shock, Septic",D012772
7595,Proteinuria,CHEMBL52440,3,Proteinuria,D011507
7596,Prolonged QT interval,CHEMBL473,1,Long QT Syndrome,D008133
7598,Acute kidney injury,CHEMBL160,2,Acute Kidney Injury,D058186
7600,Diarrhea,CHEMBL1401,4,Diarrhea,D003967
7603,Bronchiolitis,CHEMBL1401,2,Bronchiolitis,D001988
7604,hemorrhage,CHEMBL1434,1,Hemorrhage,D006470
7606,Sickle cell anemia,CHEMBL1111,1,"Anemia, Sickle Cell",D000755
7607,Sickle cell anemia,CHEMBL98,2,"Anemia, Sickle Cell",D000755
7609,Sickle cell anemia,CHEMBL231779,3,"Anemia, Sickle Cell",D000755
7610,Fibrous dysplasia of bone,CHEMBL923,2,Fibrous Dysplasia of Bone,D005357
7612,Gastrointestinal stromal tumor,CHEMBL428647,2,Gastrointestinal Stromal Tumors,D046152
7616,Hereditary hemorrhagic telangiectasia,CHEMBL43452,1,"Telangiectasia, Hereditary Hemorrhagic",D013683
7619,Duchenne muscular dystrophy,CHEMBL1485,1,"Muscular Dystrophy, Duchenne",D020388
7621,unipolar depression,CHEMBL1544,3,Depressive Disorder,D003866
7622,unipolar depression,CHEMBL500,2,Depressive Disorder,D003866
7623,unipolar depression,CHEMBL1434,3,Depressive Disorder,D003866
7624,unipolar depression,CHEMBL1622,4,Depressive Disorder,D003866
7625,unipolar depression,CHEMBL19019,3,Depressive Disorder,D003866
7626,urethritis,CHEMBL529,4,Urethritis,D014526
7627,skin disease,CHEMBL1161,4,Skin Diseases,D012871
7629,chronic obstructive pulmonary disease,CHEMBL529,3,"Pulmonary Disease, Chronic Obstructive",D029424
7630,infection,CHEMBL529,3,Infections,D007239
7631,urinary tract infection,CHEMBL572,4,Urinary Tract Infections,D014552
7633,Otitis media,CHEMBL529,3,Otitis Media,D010033
7634,Cystic fibrosis,CHEMBL529,4,Cystic Fibrosis,D003550
7635,asthma,CHEMBL529,3,Asthma,D001249
7636,acne,CHEMBL529,3,Acne Vulgaris,D000152
7638,Turner syndrome,CHEMBL135,3,Turner Syndrome,D014424
7639,chronic obstructive pulmonary disease,CHEMBL1200500,3,"Pulmonary Disease, Chronic Obstructive",D029424
7641,pneumonia,CHEMBL529,4,Pneumonia,D011014
7642,eye disease,CHEMBL529,3,Eye Diseases,D005128
7643,Bronchopulmonary dysplasia,CHEMBL1200500,3,Bronchopulmonary Dysplasia,D001997
7644,infertility,CHEMBL135,3,Infertility,D007246
7645,atherosclerosis,CHEMBL135,2,Atherosclerosis,D050197
7646,seasonal allergic rhinitis,CHEMBL1200500,4,"Rhinitis, Allergic, Seasonal",D006255
7648,obsessive-compulsive disorder,CHEMBL529,2,Obsessive-Compulsive Disorder,D009771
7649,Bronchiolitis,CHEMBL529,2,Bronchiolitis,D001988
7650,Cough,CHEMBL529,3,Cough,D003371
7651,Bronchopulmonary dysplasia,CHEMBL529,3,Bronchopulmonary Dysplasia,D001997
7652,periodontitis,CHEMBL529,2,Periodontitis,D010518
7653,Bronchiectasis,CHEMBL529,3,Bronchiectasis,D001987
7655,premature birth,CHEMBL529,3,Premature Birth,D047928
7656,immune system disease,CHEMBL529,1,Immune System Diseases,D007154
7657,chronic bronchitis,CHEMBL529,3,"Bronchitis, Chronic",D029481
7658,sinusitis,CHEMBL529,2,Sinusitis,D012852
7660,sinusitis,CHEMBL1161,3,Sinusitis,D012852
7662,bacterial conjunctivitis,CHEMBL529,3,"Conjunctivitis, Bacterial",D003234
7664,chronic hepatitis C virus infection,CHEMBL3039514,4,"Hepatitis C, Chronic",D019698
7665,chronic hepatitis C virus infection,CHEMBL2063090,4,"Hepatitis C, Chronic",D019698
7668,chronic hepatitis C virus infection,CHEMBL3545062,4,"Hepatitis C, Chronic",D019698
7671,cardiovascular disease,CHEMBL466659,4,Cardiovascular Diseases,D002318
7672,cardiovascular disease,CHEMBL434200,4,Cardiovascular Diseases,D002318
7673,cardiovascular disease,CHEMBL317094,4,Cardiovascular Diseases,D002318
7674,cardiovascular disease,CHEMBL813,4,Cardiovascular Diseases,D002318
7675,diabetes mellitus,CHEMBL142703,4,Diabetes Mellitus,D003920
